791	MIR1-2	dna
792	MDM4	rna
793	MDM4	dna
794	PIK3C2A	rna
795	PIK3C2A	dna
796	KAT6A	rna
797	KAT6A	dna
798	MRPL18	rna
799	MRPL18	dna
800	MAGOH	rna
801	MAGOH	dna
802	SNRNP70	rna
803	SNRNP70	dna
804	WDR5	rna
805	WDR5	dna
806	SMARCA4	rna
807	SMARCA4	dna
808	CFTR	rna
809	CFTR	dna
810	NDUFS3	rna
811	NDUFS3	dna
812	IFIT1	rna
813	IFIT1	dna
814	YWHAG	rna
815	YWHAG	dna
816	GADD45A	rna
817	GADD45A	dna
818	CCND1	rna
819	CCND1	dna
820	NUP133	rna
821	NUP133	dna
822	NOTCH1	rna
823	NOTCH1	dna
824	ABRAXAS1	rna
825	ABRAXAS1	dna
826	MTNR1A	rna
827	MTNR1A	dna
828	IFNAR1	rna
829	IFNAR1	dna
830	DAGLB	rna
831	DAGLB	dna
832	ERCC3	rna
833	ERCC3	dna
834	TK1	rna
835	TK1	dna
836	GNG11	rna
837	GNG11	dna
838	FADS2	rna
839	FADS2	dna
840	STAT5A	rna
841	STAT5A	dna
842	CPSF4	rna
843	CPSF4	dna
844	SLK	rna
845	SLK	dna
846	POLE2	rna
847	POLE2	dna
848	SMARCB1	rna
849	SMARCB1	dna
850	LCAT	rna
851	LCAT	dna
852	LCK	rna
853	LCK	dna
854	ACSL4	rna
855	ACSL4	dna
856	RPL7A	rna
857	RPL7A	dna
858	YAP1	rna
859	YAP1	dna
860	CAPN1	rna
861	CAPN1	dna
862	RPL23	rna
863	RPL23	dna
864	NCOR1	rna
865	NCOR1	dna
866	IL10RA	rna
867	IL10RA	dna
868	PRKN	rna
869	PRKN	dna
870	RPL18A	rna
871	RPL18A	dna
872	H2AX	rna
873	H2AX	dna
874	IFNA8	rna
875	IFNA8	dna
876	FBXW7	rna
877	FBXW7	dna
878	RPL11	rna
879	RPL11	dna
880	PCNA	rna
881	PCNA	dna
882	CAV1	rna
883	CAV1	dna
884	CCL7	rna
885	CCL7	dna
886	ATXN1	rna
887	ATXN1	dna
888	PSMC3	rna
889	PSMC3	dna
890	SIRT7	rna
891	SIRT7	dna
892	NUP58	rna
893	NUP58	dna
894	ZBTB16	rna
895	ZBTB16	dna
896	NDUFB9	rna
897	NDUFB9	dna
898	ARHGEF6	rna
899	ARHGEF6	dna
900	PDHA1	rna
901	PDHA1	dna
902	PRNP	rna
903	PRNP	dna
904	PSMF1	rna
905	PSMF1	dna
906	TRAF6	rna
907	TRAF6	dna
908	UBE2A	rna
909	UBE2A	dna
910	RALBP1	rna
911	RALBP1	dna
912	FGB	rna
913	FGB	dna
914	KEAP1	rna
915	KEAP1	dna
916	GSK3A	rna
917	GSK3A	dna
918	PPP3CA	rna
919	PPP3CA	dna
920	CASP1	rna
921	CASP1	dna
922	NUP205	rna
923	NUP205	dna
924	PIK3R2	rna
925	PIK3R2	dna
926	NFKBIE	rna
927	NFKBIE	dna
928	EIF5	rna
929	EIF5	dna
930	ERP29	rna
931	ERP29	dna
932	CYLD	rna
933	CYLD	dna
934	NCK1	rna
935	NCK1	dna
936	COL4A2	rna
937	COL4A2	dna
938	NEDD4	rna
939	NEDD4	dna
940	ELAVL1	rna
941	ELAVL1	dna
942	TTN	rna
943	TTN	dna
944	EIF3G	rna
945	EIF3G	dna
946	MIR107	rna
947	MIR107	dna
948	POLR2A	rna
949	POLR2A	dna
950	CUL5	rna
951	CUL5	dna
952	TADA3	rna
953	TADA3	dna
954	OGT	rna
955	OGT	dna
956	DOCK8	rna
957	DOCK8	dna
958	LMNA	rna
959	LMNA	dna
960	ARHGAP10	rna
961	ARHGAP10	dna
962	GIT2	rna
963	GIT2	dna
964	TJP2	rna
965	TJP2	dna
966	CASP7	rna
967	CASP7	dna
968	SNRPD3	rna
969	SNRPD3	dna
970	IST1	rna
971	IST1	dna
972	DET1	rna
973	DET1	dna
974	MAPK14	rna
975	MAPK14	dna
976	ABAT	rna
977	ABAT	dna
978	MCM3	rna
979	MCM3	dna
980	AK1	rna
981	AK1	dna
982	DDX20	rna
983	DDX20	dna
984	PC	rna
985	PC	dna
986	MIRLET7I	rna
987	MIRLET7I	dna
988	PCGF2	rna
989	PCGF2	dna
990	RAD21	rna
991	RAD21	dna
992	GNB3	rna
993	GNB3	dna
994	DGCR8	rna
995	DGCR8	dna
996	FBXO6	rna
997	FBXO6	dna
998	NF2	rna
999	NF2	dna
1000	BCAP31	rna
1001	BCAP31	dna
1002	ZNF324B	rna
1003	ZNF324B	dna
1004	TCOF1	rna
1005	TCOF1	dna
1006	PSMC4	rna
1007	PSMC4	dna
1008	MIR25	rna
1009	MIR25	dna
1010	GALK1	rna
1011	GALK1	dna
1012	RPA2	rna
1013	RPA2	dna
